No.,tL,tR
true,0.862069,1.190476
0,0.895707,1.131780
1,0.922157,1.092198
2,0.918537,1.097317
3,0.899899,1.125159
4,0.881306,1.155642
5,0.901518,1.122636
6,0.931775,1.079007
7,0.910157,1.109521
8,0.886229,1.147282
9,0.904595,1.117902
10,0.926302,1.086437
11,0.887153,1.145738
12,0.934731,1.075067
13,0.924314,1.089186
14,0.922892,1.091165
15,0.932180,1.078459
16,0.923345,1.090536
17,0.912250,1.106426
18,0.874469,1.167613
19,0.905061,1.117187
20,0.935296,1.074322
21,0.951162,1.054125
22,0.882275,1.153979
23,0.896506,1.130508
24,0.933407,1.076825
25,0.912639,1.105855
26,0.910986,1.108295
27,0.957446,1.046512
28,0.938708,1.069855
29,0.870859,1.174113
30,0.901777,1.122236
31,0.916485,1.100260
32,0.894175,1.134236
33,0.897213,1.129385
34,0.915618,1.101512
35,0.935064,1.074628
36,0.895081,1.132779
37,0.946123,1.060382
38,0.891256,1.138966
39,0.909300,1.110801
40,0.926818,1.085729
41,0.966325,1.036105
42,0.915356,1.101893
43,0.920083,1.095121
44,0.871952,1.172130
45,0.935092,1.074592
46,0.923547,1.090253
47,0.897243,1.129337
48,0.905749,1.116147
49,0.947367,1.058825
50,0.916046,1.100894
51,0.916525,1.100202
52,0.865223,1.184513
53,0.912630,1.105867
54,0.920132,1.095054
55,0.924586,1.088810
56,0.903903,1.118959
57,0.878620,1.160292
58,0.955330,1.049052
59,0.921965,1.092469
60,0.948944,1.056861
61,0.865038,1.184859
62,0.902527,1.121074
63,0.880658,1.156755
64,0.965170,1.037439
65,0.925958,1.086914
66,0.901760,1.122263
67,0.906794,1.114559
68,0.911388,1.107699
69,0.918094,1.097952
70,0.868181,1.179014
71,0.872926,1.170376
72,0.922132,1.092229
73,0.903218,1.120011
74,0.951924,1.053191
75,0.918787,1.096963
76,0.907688,1.113214
77,0.905663,1.116277
78,0.960026,1.043448
79,0.881334,1.155594
80,0.925404,1.087678
81,0.884957,1.149425
82,0.910198,1.109460
83,0.896073,1.131199
84,0.930387,1.080873
85,0.894118,1.134330
86,0.906692,1.114714
87,0.950564,1.054856
88,0.933827,1.076269
89,0.878254,1.160931
90,0.870648,1.174493
91,0.909298,1.110800
92,0.947369,1.058823
93,0.921429,1.093221
94,0.916272,1.100568
95,0.902618,1.120937
96,0.924140,1.089429
97,0.893743,1.134933
98,0.893512,1.135303
99,0.926908,1.085605
100,0.955752,1.048544
101,0.900924,1.123559
102,0.940377,1.067696
103,0.921941,1.092500
104,0.904671,1.117784
105,0.916947,1.099597
106,0.871596,1.172773
107,0.881204,1.155818
108,0.912570,1.105957
109,0.841351,1.232383
110,0.902455,1.121183
111,0.922678,1.091467
112,0.883048,1.152657
113,0.938134,1.070602
114,0.930906,1.080173
115,0.892256,1.137339
116,0.907081,1.114128
117,0.892463,1.137004
118,0.886504,1.146823
119,0.905589,1.116388
120,0.914304,1.103424
121,0.880025,1.157852
122,0.943232,1.064038
123,0.872892,1.170435
124,0.887340,1.145427
125,0.935314,1.074297
126,0.951351,1.053892
127,0.879690,1.158432
128,0.841400,1.232278
129,0.928091,1.083987
130,0.924821,1.088482
131,0.916260,1.100585
132,0.967742,1.034482
133,0.901045,1.123373
134,0.896382,1.130705
135,0.914287,1.103447
136,0.920930,1.093923
137,0.935487,1.074069
138,0.918400,1.097514
139,0.904728,1.117702
140,0.923235,1.090690
141,0.968687,1.033402
142,0.925887,1.087010
143,0.896000,1.131313
144,0.882941,1.152843
145,0.854036,1.206145
146,0.897168,1.129459
147,0.918585,1.097249
148,0.935033,1.074670
149,0.901074,1.123327
150,0.914420,1.103250
151,0.879958,1.157968
152,0.950532,1.054900
153,0.884028,1.150994
154,0.926187,1.086596
155,0.923837,1.089851
156,0.911578,1.107416
157,0.934423,1.075475
158,0.938203,1.070511
159,0.947370,1.058823
160,0.983606,1.016948
161,0.872298,1.171502
162,0.866371,1.182370
163,0.956810,1.047272
164,0.937238,1.071772
165,0.935065,1.074628
166,0.927911,1.084233
167,0.869673,1.176271
168,0.914247,1.103504
169,0.947210,1.059019
170,0.920420,1.094648
171,0.920653,1.094312
172,0.934197,1.075777
173,0.848409,1.217548
174,0.900985,1.123464
175,0.904628,1.117856
176,0.955752,1.048544
177,0.910892,1.108434
178,0.971003,1.030783
179,0.903593,1.119433
180,0.912885,1.105494
181,0.921428,1.093221
182,0.913144,1.105116
183,0.932699,1.077766
184,0.853079,1.208059
185,0.947719,1.058388
186,0.894600,1.133553
187,0.902044,1.121823
188,0.845092,1.224446
189,0.926133,1.086672
190,0.895065,1.132807
191,0.928850,1.082955
192,0.947204,1.059027
193,0.914353,1.103352
194,0.915125,1.102228
195,0.852976,1.208264
196,0.892120,1.137561
197,0.908152,1.112518
198,0.899815,1.125287
199,0.907658,1.113258
200,0.927001,1.085476
201,0.854949,1.204326
202,0.910537,1.108958
203,0.924130,1.089441
204,0.891513,1.138546
205,0.878991,1.159646
206,0.955753,1.048544
207,0.920039,1.095185
208,0.863837,1.187120
209,0.862022,1.190564
210,0.918581,1.097259
211,0.872387,1.171346
212,0.912028,1.106754
213,0.900945,1.123526
214,0.907026,1.114211
215,0.916344,1.100465
216,0.916826,1.099771
217,0.937553,1.071358
218,0.923356,1.090521
219,0.899323,1.126059
220,0.871321,1.173272
221,0.921613,1.092959
222,0.917722,1.098485
223,0.913781,1.104185
224,0.869375,1.176819
225,0.875028,1.166617
226,0.921681,1.092866
227,0.930367,1.080900
228,0.887513,1.145138
229,0.920018,1.095213
230,0.938549,1.070063
231,0.950901,1.054444
232,0.880221,1.157515
233,0.912683,1.105791
234,0.927381,1.084956
235,0.920324,1.094778
236,0.864118,1.186594
237,0.948616,1.057271
238,0.948373,1.057570
239,0.904590,1.117909
240,0.869289,1.176979
241,0.860511,1.193461
242,0.928580,1.083322
243,0.937111,1.071938
244,0.920474,1.094567
245,0.925165,1.088009
246,0.878122,1.161161
247,0.905854,1.115987
248,0.940565,1.067450
249,0.853285,1.207645
250,0.902240,1.121520
251,0.924343,1.089148
252,0.904383,1.118227
253,0.860881,1.192751
254,0.878620,1.160292
255,0.958703,1.045015
256,0.911009,1.108260
257,0.918787,1.096962
258,0.853178,1.207856
259,0.857366,1.199563
260,0.899107,1.126400
261,0.905749,1.116144
262,0.934578,1.075271
263,0.838916,1.237647
264,0.931354,1.079571
265,0.918580,1.097258
266,0.937479,1.071455
267,0.859584,1.195246
268,0.966443,1.035972
269,0.950470,1.054976
270,0.894274,1.134076
271,0.931880,1.078864
272,0.904897,1.117438
273,0.867234,1.180762
274,0.894266,1.134090
275,0.912200,1.106502
276,0.901791,1.122215
277,0.910369,1.109207
278,0.945372,1.061328
279,0.902655,1.120880
280,0.892325,1.137228
281,0.934786,1.074997
282,0.909490,1.110515
283,0.927353,1.084996
284,0.869532,1.176531
285,0.904616,1.117868
286,0.878502,1.160499
287,0.887472,1.145208
288,0.932895,1.077506
289,0.897813,1.128439
290,0.871844,1.172323
291,0.941033,1.066851
292,0.918284,1.097679
293,0.938006,1.070768
294,0.889036,1.142613
295,0.914248,1.103503
296,0.927323,1.085038
297,0.867635,1.180022
298,0.900454,1.124295
299,0.898456,1.127422
300,0.902070,1.121780
301,0.921614,1.092961
302,0.878319,1.160819
303,0.877176,1.162819
304,0.926243,1.086518
305,0.881512,1.155287
306,0.885673,1.148216
307,0.880075,1.157764
308,0.945576,1.061073
309,0.900883,1.123622
310,0.889571,1.141734
311,0.877029,1.163079
312,0.957446,1.046512
313,0.970149,1.031744
314,0.950075,1.055460
315,0.919061,1.096569
316,0.958761,1.044946
317,0.913890,1.104027
318,0.905336,1.116771
319,0.862473,1.189706
320,0.856111,1.202029
321,0.914829,1.102659
322,0.930226,1.081092
323,0.909009,1.111235
324,0.944262,1.062732
325,0.924055,1.089550
326,0.903269,1.119932
327,0.865773,1.183482
328,0.925959,1.086913
329,0.938134,1.070602
330,0.936223,1.073103
331,0.912463,1.106115
332,0.963893,1.038917
333,0.868316,1.178766
334,0.883663,1.151615
335,0.923076,1.090906
336,0.912346,1.106285
337,0.896182,1.131023
338,0.924844,1.088453
339,0.952994,1.051883
340,0.936831,1.072302
341,0.908547,1.111924
342,0.871386,1.173154
343,0.870992,1.173869
344,0.923345,1.090536
345,0.876258,1.164437
346,0.857406,1.199488
347,0.911186,1.107996
348,0.902463,1.121178
349,0.923968,1.089664
350,0.915594,1.101548
351,0.933736,1.076387
352,0.886473,1.146878
353,0.908905,1.111388
354,0.880187,1.157572
355,0.920039,1.095182
356,0.919144,1.096453
357,0.885610,1.148323
358,0.926272,1.086477
359,0.922564,1.091628
360,0.856973,1.200332
361,0.943453,1.063756
362,0.942230,1.065316
363,0.846591,1.221311
364,0.926683,1.085915
365,0.859056,1.196271
366,0.950942,1.054395
367,0.932578,1.077928
368,0.929028,1.082716
369,0.866995,1.181209
370,0.936959,1.072139
371,0.921509,1.093110
372,0.888548,1.143424
373,0.890579,1.140073
374,0.935032,1.074670
375,0.878760,1.160047
376,0.943307,1.063944
377,0.870771,1.174268
378,0.956817,1.047266
379,0.926304,1.086435
380,0.932865,1.077547
381,0.899526,1.125742
382,0.869551,1.176498
383,0.953452,1.051326
384,0.920929,1.093923
385,0.915243,1.102056
386,0.864032,1.186753
387,0.912749,1.105693
388,0.932090,1.078582
389,0.898271,1.127715
390,0.918666,1.097134
391,0.899079,1.126443
392,0.910974,1.108313
393,0.852753,1.208709
394,0.930187,1.081141
395,0.887402,1.145323
396,0.935747,1.073727
397,0.924757,1.088570
398,0.937500,1.071428
399,0.924877,1.088406
400,0.901757,1.122266
401,0.923117,1.090852
402,0.922568,1.091622
403,0.930620,1.080555
404,0.922534,1.091667
405,0.940781,1.067174
406,0.853264,1.207686
407,0.947367,1.058825
408,0.893570,1.135212
409,1.000000,1.000001
410,0.909036,1.111193
411,0.876621,1.163798
412,0.881753,1.154873
413,0.912758,1.105682
414,0.898944,1.126654
415,0.939406,1.068949
416,0.914212,1.103552
417,0.893031,1.136082
418,0.909300,1.110800
419,0.905958,1.115826
420,0.871694,1.172596
421,0.900086,1.124866
422,0.925802,1.087127
423,0.918134,1.097894
424,0.953452,1.051328
425,0.921131,1.093638
426,0.835565,1.245012
427,0.918207,1.097788
428,0.888030,1.144280
429,0.913481,1.104621
430,0.893975,1.134555
431,0.902580,1.120996
432,0.926852,1.085682
433,0.960001,1.043478
434,0.905887,1.115934
435,0.891591,1.138422
436,0.891762,1.138142
437,0.918349,1.097589
438,0.925684,1.087290
439,0.864629,1.185628
440,0.911901,1.106943
441,0.890540,1.140139
442,0.900457,1.124289
443,0.947037,1.059235
444,0.862167,1.190291
445,0.878505,1.160494
446,0.932337,1.078253
447,0.930462,1.080770
448,0.867309,1.180628
449,0.891608,1.138391
450,0.930060,1.081315
451,0.902678,1.120844
452,0.911207,1.107964
453,0.858553,1.197245
454,0.880448,1.157122
455,0.919836,1.095471
456,0.954530,1.050020
457,0.925311,1.087807
458,0.953452,1.051327
459,0.890464,1.140265
460,0.912967,1.105377
461,0.897238,1.129346
462,0.884546,1.150118
463,0.888174,1.144043
464,0.871495,1.172957
465,0.847517,1.219392
466,0.893511,1.135306
467,0.925882,1.087017
468,0.918706,1.097073
469,0.861826,1.190940
470,0.927929,1.084209
471,0.867141,1.180939
472,0.896336,1.130780
473,0.886086,1.147523
474,0.940767,1.067195
475,0.952437,1.052564
476,0.873613,1.169142
477,0.882927,1.152865
478,0.881004,1.156162
479,0.927454,1.084859
480,0.972607,1.028979
481,0.930409,1.080843
482,0.855920,1.202406
483,0.974889,1.026439
484,0.843246,1.228340
485,0.877217,1.162747
486,0.880957,1.156243
487,0.916060,1.100874
488,0.895468,1.132164
489,0.901086,1.123306
490,0.928403,1.083562
491,0.943045,1.064278
492,0.911475,1.107569
493,0.886933,1.146107
494,0.906520,1.114978
495,0.921045,1.093760
496,0.954679,1.049841
497,0.905748,1.116144
498,0.873436,1.169457
499,0.950582,1.054837
500,0.903425,1.119695
501,0.891009,1.139370
502,0.931837,1.078920
503,0.849020,1.216291
504,0.923152,1.090803
505,0.904468,1.118094
506,0.939131,1.069308
507,0.913827,1.104118
508,0.902019,1.121861
509,0.927310,1.085054
510,0.898119,1.127953
511,0.902285,1.121451
512,0.913656,1.104366
513,0.922538,1.091664
514,0.873458,1.169421
515,0.904222,1.118472
516,0.905393,1.116690
517,0.859112,1.196161
518,0.902687,1.120830
519,0.857100,1.200083
520,0.909343,1.110737
521,0.887680,1.144859
522,0.956034,1.048203
523,0.893307,1.135635
524,0.903373,1.119776
525,0.929662,1.081852
526,0.956141,1.048076
527,0.922686,1.091453
528,0.930187,1.081142
529,0.912503,1.106054
530,0.918580,1.097258
531,0.919885,1.095401
532,0.899011,1.126546
533,0.913947,1.103944
534,0.919508,1.095938
535,0.891319,1.138867
536,0.881648,1.155052
537,0.902919,1.120473
538,0.866152,1.182778
539,0.958579,1.045161
540,0.892909,1.136280
541,0.919479,1.095977
542,0.959781,1.043737
543,0.918377,1.097547
544,0.883765,1.151440
545,0.898787,1.126902
546,0.866195,1.182696
547,0.961446,1.041777
548,0.899889,1.125173
549,0.901459,1.122730
550,0.989781,1.010432
551,0.934666,1.075156
552,0.940200,1.067924
553,0.924515,1.088908
554,0.856739,1.200794
555,0.913013,1.105309
556,0.898545,1.127281
557,0.873955,1.168529
558,0.912534,1.106010
559,0.913803,1.104154
560,0.925527,1.087507
561,0.897813,1.128439
562,0.926852,1.085682
563,0.899964,1.125058
564,0.914426,1.103245
565,0.930043,1.081338
566,0.922491,1.091728
567,0.890479,1.140240
568,0.914248,1.103503
569,0.900223,1.124649
570,0.921940,1.092500
571,0.907911,1.112878
572,0.877916,1.161522
573,0.891392,1.138747
574,0.863504,1.187751
575,0.927585,1.084680
576,0.902692,1.120820
577,0.897536,1.128876
578,0.859510,1.195390
579,0.889851,1.141271
580,0.965725,1.036798
581,0.967165,1.035142
582,0.923122,1.090847
583,0.902462,1.121177
584,0.943612,1.063557
585,0.916030,1.100919
586,0.906827,1.114512
587,0.860458,1.193564
588,0.943784,1.063337
589,0.890857,1.139619
590,0.893254,1.135725
591,0.880227,1.157500
592,0.879995,1.157902
593,0.923646,1.090115
594,0.857830,1.198656
595,0.894355,1.133946
596,0.933963,1.076088
597,0.905488,1.116541
598,0.940892,1.067032
599,0.885636,1.148278
600,0.925959,1.086913
601,0.950019,1.055533
602,0.912215,1.106480
603,0.922124,1.092243
604,0.924732,1.088606
605,0.892487,1.136963
606,0.879263,1.159173
607,0.901517,1.122637
608,0.861626,1.191320
609,0.897583,1.128798
610,0.898535,1.127297
611,0.892240,1.137365
612,0.912465,1.106113
613,0.893330,1.135600
614,0.961538,1.041667
615,0.887827,1.144615
616,0.893486,1.135350
617,0.922750,1.091365
618,0.882609,1.153408
619,0.906438,1.115102
620,0.909299,1.110800
621,0.938276,1.070416
622,0.911179,1.108005
623,0.906382,1.115185
624,0.912014,1.106771
625,0.874507,1.167545
626,0.960002,1.043479
627,0.880245,1.157472
628,0.887272,1.145540
629,0.887925,1.144454
630,0.909705,1.110197
