No.,tL,tR
true,0.862069,1.190476
0,0.895415,1.132245
1,0.882141,1.154209
2,0.923286,1.090616
3,0.818234,1.285588
4,0.898595,1.127201
5,0.825582,1.267855
6,0.892381,1.137134
7,0.864531,1.185812
8,0.837323,1.241127
9,0.835284,1.245636
10,0.942201,1.065353
11,0.885911,1.147820
12,0.915779,1.101280
13,0.930436,1.080809
14,0.903228,1.119995
15,0.921604,1.092975
16,0.874017,1.168422
17,0.761150,1.457305
18,0.944584,1.062324
19,0.821919,1.276593
20,0.848741,1.216865
21,0.924684,1.088671
22,0.902446,1.121201
23,0.850070,1.214143
24,0.832445,1.252003
25,0.819640,1.282130
26,0.857398,1.199500
27,0.864550,1.185777
28,0.873341,1.169628
29,0.854246,1.205723
30,0.821047,1.278702
31,0.868812,1.177854
32,0.813487,1.297483
33,0.925265,1.087869
34,0.916800,1.099808
35,0.903225,1.120003
36,0.879349,1.159024
37,0.926091,1.086729
38,0.799172,1.335641
39,0.800705,1.331382
40,0.808185,1.311200
41,0.861443,1.191671
42,0.896584,1.130384
43,0.866686,1.181783
44,0.735561,1.561292
45,0.851405,1.211431
46,0.830775,1.255797
47,0.835807,1.244475
48,0.986969,1.013381
49,0.812750,1.299359
50,0.864526,1.185822
51,0.852884,1.208448
52,0.827413,1.263563
53,0.778316,1.398263
54,0.909463,1.110556
55,0.886492,1.146846
56,0.876450,1.164100
57,0.814060,1.296025
58,0.814222,1.295617
59,0.963765,1.039066
60,0.856305,1.201644
61,0.829747,1.258158
62,0.905784,1.116090
63,0.910349,1.109239
64,0.936498,1.072743
65,0.900380,1.124407
66,0.828155,1.261834
67,0.880141,1.157649
68,0.840282,1.234685
69,0.882065,1.154341
70,0.872287,1.171528
71,0.789521,1.363499
72,0.757901,1.469363
73,0.846707,1.221071
74,0.881767,1.154850
75,0.818558,1.284782
76,0.933971,1.076076
77,0.817322,1.287845
78,0.891350,1.138816
79,0.892452,1.137023
80,0.843788,1.227193
81,0.876566,1.163896
82,0.862322,1.189995
83,0.758880,1.465698
84,0.859125,1.196138
85,0.783992,1.380302
86,0.835371,1.245440
87,0.855094,1.204037
88,0.897519,1.128904
89,0.856684,1.200901
90,0.760358,1.460214
91,0.811336,1.302989
92,0.946104,1.060409
93,0.947194,1.059042
94,0.983757,1.016790
95,0.808940,1.309218
96,0.888778,1.143037
97,0.843208,1.228424
98,0.839411,1.236568
99,0.841662,1.231714
100,0.829303,1.259181
101,0.882037,1.154388
102,0.848651,1.217051
103,0.918301,1.097655
104,0.769108,1.428996
105,0.939782,1.068465
106,0.835726,1.244653
107,0.866464,1.182195
108,0.905457,1.116590
109,0.844016,1.226709
110,0.781732,1.387367
111,0.906670,1.114748
112,0.823274,1.273334
113,0.927786,1.084407
114,0.786196,1.373528
115,0.842038,1.230912
116,0.848744,1.216859
117,0.837480,1.240784
118,0.834261,1.247918
119,0.855302,1.203626
120,0.879150,1.159369
121,0.868303,1.178789
122,0.859682,1.195059
123,0.883462,1.151956
124,0.858606,1.197143
125,0.961721,1.041450
126,0.874383,1.167763
127,0.849743,1.214810
128,0.841268,1.232564
129,0.845368,1.223864
130,0.820419,1.280229
131,0.919573,1.095842
132,0.742248,1.531999
133,0.888275,1.143872
134,0.817291,1.287925
135,0.824561,1.270272
136,0.844906,1.224834
137,0.861358,1.191834
138,0.848811,1.216718
139,0.915691,1.101408
140,0.908738,1.111640
141,0.881568,1.155191
142,0.894756,1.133301
143,0.931022,1.080016
144,0.821084,1.278614
145,0.830152,1.257227
146,0.809105,1.308786
147,0.842085,1.230810
148,0.984385,1.016119
149,0.805682,1.317843
150,0.905267,1.116878
151,0.844933,1.224779
152,0.849892,1.214506
153,0.863537,1.187687
154,0.876563,1.163900
155,0.916458,1.100301
156,0.897250,1.129326
157,0.855808,1.202628
158,0.809243,1.308428
159,0.915780,1.101277
160,0.917008,1.099508
161,0.929667,1.081847
162,0.813555,1.297308
163,0.870899,1.174038
164,0.864771,1.185361
165,0.837901,1.239863
166,0.890301,1.140532
167,0.897547,1.128858
168,0.929817,1.081644
169,0.880585,1.156883
170,0.875391,1.165974
171,0.922283,1.092019
172,0.869128,1.177274
173,0.841055,1.233023
174,0.853127,1.207961
175,0.792782,1.353878
176,0.920670,1.094291
177,0.770301,1.424895
178,0.885171,1.149062
179,0.932447,1.078106
180,0.843231,1.228371
181,0.808961,1.309161
182,0.877335,1.162542
183,0.916568,1.100143
184,0.840184,1.234896
185,0.887801,1.144660
186,0.892440,1.137039
187,0.861874,1.190848
188,0.848377,1.217616
189,0.836023,1.243996
190,0.855672,1.202896
191,0.821246,1.278220
192,0.932447,1.078106
193,0.865043,1.184851
194,0.839244,1.236935
195,0.843844,1.227075
196,0.816149,1.290769
197,0.904668,1.117789
198,0.866439,1.182240
199,0.913673,1.104344
200,0.888192,1.144012
201,0.841769,1.231489
202,0.846574,1.221347
203,0.842344,1.230259
204,0.928612,1.083277
205,0.863021,1.188665
206,0.888875,1.142881
207,0.890314,1.140508
208,0.783758,1.381032
209,0.818209,1.285644
210,0.868310,1.178775
211,0.762394,1.452762
212,0.821308,1.278071
213,0.806224,1.316396
214,0.929346,1.082280
215,0.825630,1.267742
216,0.884868,1.149572
217,0.856891,1.200495
218,0.859646,1.195130
219,0.815303,1.292887
220,0.864797,1.185313
221,0.840064,1.235155
222,0.761213,1.457074
223,0.911055,1.108192
224,0.754477,1.482408
225,0.846183,1.222159
226,0.856077,1.202095
227,0.845675,1.223224
228,0.751217,1.495150
229,0.943455,1.063756
230,0.857911,1.198496
231,0.833275,1.250130
232,0.847540,1.219341
233,0.807091,1.314088
234,0.913694,1.104310
235,0.821768,1.276960
236,0.780059,1.392670
237,0.847897,1.218603
238,0.994900,1.005151
239,0.848425,1.217512
240,0.894606,1.133541
241,0.879490,1.158777
242,0.913593,1.104460
243,0.815024,1.293587
244,0.873173,1.169930
245,0.892225,1.137391
246,0.739837,1.542377
247,0.863243,1.188244
248,0.869479,1.176626
249,0.765964,1.439976
250,0.875809,1.165235
251,0.795754,1.345294
252,0.871814,1.172381
253,0.851965,1.210299
254,0.916378,1.100417
255,0.923054,1.090943
256,0.811125,1.303535
257,0.910917,1.108394
258,0.810364,1.305505
259,0.918332,1.097611
260,0.853872,1.206473
261,0.775577,1.407192
262,0.882747,1.153174
263,0.869903,1.175854
264,0.962234,1.040851
265,0.810940,1.304016
266,0.854241,1.205733
267,0.803998,1.322374
268,0.914082,1.103743
269,0.855377,1.203478
270,0.930286,1.081009
271,0.862715,1.189246
272,0.828877,1.260165
